Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"R13"	,"RC0402FR-07240RL"	,"R0402"	,"46.124mm"	,"-38.694mm"	,"46.124mm"	,"-38.694mm"	,"46.557mm"	,"-38.694mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R15"	,"RC0402JR-076K8L"	,"R0402"	,"42.314mm"	,"-31.582mm"	,"42.314mm"	,"-31.582mm"	,"42.747mm"	,"-31.582mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R17"	,"RC0402FR-07240RL"	,"R0402"	,"41.806mm"	,"-26.248mm"	,"41.806mm"	,"-26.248mm"	,"42.239mm"	,"-26.248mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R19"	,"RC0402JR-076K8L"	,"R0402"	,"33.551mm"	,"-32.09mm"	,"33.551mm"	,"-32.09mm"	,"33.984mm"	,"-32.09mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R21"	,"RC0402FR-07240RL"	,"R0402"	,"33.17mm"	,"-26.248mm"	,"33.17mm"	,"-26.248mm"	,"33.603mm"	,"-26.248mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R23"	,"RC0402JR-076K8L"	,"R0402"	,"28.725mm"	,"-44.282mm"	,"28.725mm"	,"-44.282mm"	,"29.158mm"	,"-44.282mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R25"	,"RC0402FR-07240RL"	,"R0402"	,"28.217mm"	,"-38.948mm"	,"28.217mm"	,"-38.948mm"	,"28.65mm"	,"-38.948mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R27"	,"RC0402JR-076K8L"	,"R0402"	,"24.28mm"	,"-31.455mm"	,"24.28mm"	,"-31.455mm"	,"24.713mm"	,"-31.455mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R29"	,"RC0402FR-07240RL"	,"R0402"	,"23.772mm"	,"-26.121mm"	,"23.772mm"	,"-26.121mm"	,"24.205mm"	,"-26.121mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R31"	,"RC0402JR-076K8L"	,"R0402"	,"15.517mm"	,"-31.836mm"	,"15.517mm"	,"-31.836mm"	,"15.95mm"	,"-31.836mm"	,"T"	,"180"	,"Yes"	,"6.8K"	,
"R33"	,"RC0402FR-07240RL"	,"R0402"	,"15.009mm"	,"-26.375mm"	,"15.009mm"	,"-26.375mm"	,"15.442mm"	,"-26.375mm"	,"T"	,"180"	,"Yes"	,"240"	,
"R6"	,"ERJ3EKF1003V"	,"R0603_NEW"	,"55.245mm"	,"-88.646mm"	,"55.245mm"	,"-88.646mm"	,"54.492mm"	,"-88.646mm"	,"B"	,"0"	,"Yes"	,"100kΩ"	,
"RJ1"	,"R-RJ45R10P-B000"	,"RJ45-TH_R-RJ45R10P-B000"	,"46.505mm"	,"-9.103mm"	,"46.505mm"	,"-9.103mm"	,"50.95mm"	,"-12.533mm"	,"T"	,"0"	,"No"	,"R-RJ45R10P-B000"	,
"RJ2"	,"R-RJ45R10P-B000"	,"RJ45-TH_R-RJ45R10P-B000"	,"27.328mm"	,"-9.103mm"	,"27.328mm"	,"-9.103mm"	,"31.773mm"	,"-12.533mm"	,"T"	,"0"	,"No"	,"R-RJ45R10P-B000"	,
"U1"	,"U3V40F5"	,"U3V40F5"	,"58.039mm"	,"-76.708mm"	,"56.769mm"	,"-84.328mm"	,"58.039mm"	,"-83.058mm"	,"B"	,"0"	,"No"	,"U3V40F5"	,
"C3"	,"CL21A225KAFNNNE"	,"C0805"	,"15.875mm"	,"-105.68mm"	,"15.875mm"	,"-105.68mm"	,"15.875mm"	,"-104.68mm"	,"B"	,"270"	,"Yes"	,"2.2uF"	,
"EKRAN1"	,"OLED-128x32"	,"OLED-128X32"	,"20.32mm"	,"-108.267mm"	,"36.703mm"	,"-109.22mm"	,"20.32mm"	,"-112.014mm"	,"B"	,"0"	,"No"	,"OLED-128x32"	,
"EN+"	,"WIRE_SOLDER_POINT"	,"WIRE_SOLDER_POINT"	,"21.336mm"	,"-119.761mm"	,"21.336mm"	,"-119.761mm"	,"21.336mm"	,"-119.761mm"	,"B"	,"180"	,"No"	,"WIRE_SOLDER_POINT"	,
"EN-"	,"WIRE_SOLDER_POINT"	,"WIRE_SOLDER_POINT"	,"21.336mm"	,"-123.571mm"	,"21.336mm"	,"-123.571mm"	,"21.336mm"	,"-123.571mm"	,"B"	,"180"	,"No"	,"WIRE_SOLDER_POINT"	,
